EmployeeNumber,Age,Department,JobRole,OverTime,MonthlyIncome,Salary_Band,JobSatisfaction,WorkLifeBalance,EnvironmentSatisfaction,YearsAtCompany,TotalWorkingYears,Attrition_Flag,Attrition_Probability,Risk_Level
424,31,Human Resources,Human Resources,No,6410,Mid,1,3,1,2,9,0,0.939,High
425,45,Research & Development,Laboratory Technician,No,5210,Mid,1,3,1,24,24,0,0.68,High
426,31,Research & Development,Research Scientist,Yes,2695,Low,4,1,3,2,3,0,0.438,Medium
428,33,Research & Development,Manager,No,11878,High,2,3,4,10,12,0,0.198,Low
429,39,Research & Development,Manager,Yes,17068,High,1,3,3,21,21,0,0.672,High
430,43,Research & Development,Laboratory Technician,No,2455,Low,4,3,3,8,9,0,0.158,Low
431,49,Research & Development,Healthcare Representative,Yes,13964,High,3,3,3,7,25,0,0.498,Medium
433,52,Research & Development,Research Scientist,No,4941,Mid,2,2,3,8,11,1,0.48,Medium
434,27,Research & Development,Research Scientist,Yes,2478,Low,2,2,3,4,4,0,0.708,High
436,32,Sales,Sales Executive,Yes,5228,Mid,2,3,3,13,13,0,0.893,High
437,27,Sales,Sales Executive,Yes,4478,Mid,3,3,4,5,5,0,0.555,Medium
438,31,Sales,Sales Executive,No,7547,High,4,3,4,7,13,0,0.011,Low
439,32,Research & Development,Research Scientist,No,5055,Mid,4,2,1,7,10,0,0.226,Low
440,28,Research & Development,Research Scientist,Yes,3464,Low,4,2,1,3,5,1,0.841,High
441,30,Research & Development,Research Scientist,No,5775,Mid,4,3,4,10,11,0,0.022,Low
442,31,Research & Development,Manufacturing Director,No,8943,High,3,3,3,10,10,0,0.08,Low
444,39,Research & Development,Manager,No,19272,High,4,3,3,21,21,0,0.711,High
445,39,Sales,Sales Executive,Yes,5238,Mid,3,2,4,1,12,1,0.41,Medium
446,33,Sales,Sales Executive,No,4682,Mid,4,2,2,7,9,0,0.562,Medium
447,47,Research & Development,Research Director,No,18300,High,3,3,4,3,21,0,0.018,Low
448,43,Research & Development,Laboratory Technician,No,5257,Mid,3,4,3,9,9,0,0.225,Low
449,27,Sales,Sales Executive,Yes,6349,Mid,2,3,3,5,6,0,0.413,Medium
450,54,Research & Development,Research Scientist,No,4869,Mid,3,2,4,4,20,0,0.227,Low
451,43,Research & Development,Healthcare Representative,No,9985,High,1,2,3,1,10,0,0.287,Low
452,45,Research & Development,Research Scientist,No,3697,Mid,4,3,4,10,12,0,0.189,Low
453,40,Sales,Sales Executive,Yes,7457,High,4,2,2,4,6,0,0.596,Medium
454,29,Research & Development,Laboratory Technician,Yes,2119,Low,1,2,2,7,7,1,0.849,High
455,29,Research & Development,Laboratory Technician,No,3983,Mid,4,3,2,3,4,0,0.565,Medium
456,30,Sales,Sales Executive,No,6118,Mid,3,3,4,10,10,0,0.068,Low
458,27,Sales,Sales Executive,No,6214,Mid,2,3,2,8,8,0,0.149,Low
460,37,Research & Development,Manufacturing Director,No,6347,Mid,4,2,4,6,8,0,0.059,Low
461,38,Research & Development,Research Director,Yes,11510,High,4,3,3,11,12,0,0.033,Low
462,31,Research & Development,Manufacturing Director,Yes,7143,High,4,2,3,11,11,0,0.33,Medium
463,29,Sales,Sales Executive,Yes,8268,High,2,3,4,7,7,0,0.388,Medium
464,35,Research & Development,Manufacturing Director,No,8095,High,2,3,3,16,17,0,0.147,Low
465,23,Research & Development,Research Scientist,No,2904,Low,4,2,3,4,4,0,0.118,Low
466,41,Research & Development,Manufacturing Director,Yes,6032,Mid,2,3,4,5,8,0,0.755,High
467,47,Sales,Sales Representative,No,2976,Low,3,3,2,0,5,0,0.822,High
468,42,Research & Development,Research Director,No,15992,High,4,3,1,1,16,0,0.15,Low
469,29,Sales,Sales Executive,No,4649,Mid,3,2,4,4,4,0,0.021,Low
470,42,Human Resources,Human Resources,Yes,2696,Low,3,3,3,3,4,0,0.565,Medium
471,32,Research & Development,Laboratory Technician,No,2370,Low,2,3,3,8,8,0,0.145,Low
473,48,Sales,Manager,No,12504,High,3,1,1,0,15,0,0.444,Medium
474,37,Research & Development,Research Scientist,Yes,5974,Mid,1,3,3,7,13,0,0.394,Medium
475,30,Sales,Sales Executive,Yes,4736,Mid,3,4,4,2,4,0,0.819,High
476,26,Sales,Sales Executive,No,5296,Mid,3,3,3,8,8,0,0.091,Low
477,42,Research & Development,Healthcare Representative,No,6781,High,4,3,1,1,14,0,0.093,Low
478,21,Sales,Sales Representative,Yes,2174,Low,2,3,1,3,3,1,0.997,High
479,36,Sales,Sales Executive,No,6653,High,4,3,4,1,7,0,0.056,Low
481,36,Sales,Sales Executive,No,9699,High,4,3,1,13,16,0,0.295,Low
482,57,Research & Development,Healthcare Representative,No,6755,High,3,3,4,3,15,0,0.016,Low
483,40,Research & Development,Laboratory Technician,Yes,2213,Low,3,3,4,7,10,0,0.103,Low
484,21,Sales,Sales Representative,No,2610,Low,4,2,1,3,3,0,0.557,Medium
485,33,Sales,Sales Representative,Yes,2851,Low,3,3,4,1,1,1,0.905,High
486,37,Research & Development,Laboratory Technician,No,3452,Low,1,3,3,5,17,0,0.295,Low
487,46,Research & Development,Manufacturing Director,No,5258,Mid,3,4,3,1,7,0,0.037,Low
488,41,Sales,Sales Executive,No,9355,High,2,3,1,8,8,1,0.57,Medium
491,50,Research & Development,Healthcare Representative,No,10496,High,4,3,4,4,20,0,0.3,Low
492,40,Sales,Sales Executive,Yes,6380,Mid,3,3,3,6,8,1,0.807,High
493,31,Research & Development,Research Scientist,Yes,2657,Low,2,3,3,2,3,0,0.641,High
494,21,Sales,Sales Representative,No,2716,Low,2,3,3,1,1,1,0.644,High
495,29,Research & Development,Research Scientist,No,2201,Low,4,3,4,3,6,0,0.396,Medium
496,35,Research & Development,Healthcare Representative,No,6540,High,2,3,3,1,10,0,0.332,Medium
497,27,Research & Development,Laboratory Technician,No,3816,Mid,2,3,4,5,5,0,0.148,Low
498,28,Sales,Sales Executive,No,5253,Mid,4,3,2,7,7,0,0.15,Low
499,49,Research & Development,Healthcare Representative,No,10965,High,3,3,2,5,26,0,0.351,Medium
500,51,Sales,Sales Executive,No,4936,Mid,4,2,3,7,18,0,0.038,Low
501,36,Research & Development,Research Scientist,No,2543,Low,3,3,4,2,6,0,0.071,Low
502,34,Sales,Sales Executive,Yes,5304,Mid,4,2,1,5,9,1,0.858,High
505,55,Research & Development,Manager,Yes,16659,High,4,3,3,5,30,0,0.025,Low
507,24,Sales,Sales Executive,Yes,4260,Mid,3,4,4,5,5,0,0.239,Low
508,30,Sales,Sales Representative,No,2476,Low,2,3,3,1,1,0,0.825,High
510,26,Research & Development,Research Scientist,No,3102,Low,1,3,3,6,7,1,0.587,Medium
511,22,Research & Development,Research Scientist,No,2244,Low,2,3,1,2,2,0,0.485,Medium
513,36,Sales,Sales Executive,No,7596,High,3,3,2,10,10,0,0.601,High
514,30,Research & Development,Research Scientist,Yes,2285,Low,4,3,3,1,3,1,0.964,High
515,37,Research & Development,Laboratory Technician,No,3034,Low,1,2,4,18,18,0,0.117,Low
516,40,Sales,Sales Executive,No,5715,Mid,2,3,4,5,8,0,0.08,Low
517,42,Research & Development,Laboratory Technician,No,2576,Low,1,3,2,5,8,0,0.258,Low
518,37,Research & Development,Manufacturing Director,Yes,4197,Mid,2,2,3,1,18,0,0.51,Medium
520,43,Research & Development,Research Director,No,14336,High,2,3,1,25,25,0,0.043,Low
521,40,Research & Development,Laboratory Technician,No,3448,Low,3,3,2,1,20,0,0.315,Medium
522,54,Research & Development,Research Director,No,19406,High,1,2,1,4,24,0,0.149,Low
523,34,Sales,Sales Executive,No,6538,High,3,3,3,3,6,0,0.177,Low
524,31,Research & Development,Manufacturing Director,No,4306,Mid,1,1,2,13,13,0,0.09,Low
525,43,Research & Development,Laboratory Technician,No,2258,Low,4,3,4,3,8,0,0.646,High
526,43,Research & Development,Healthcare Representative,Yes,4522,Mid,3,3,3,5,8,0,0.093,Low
527,25,Sales,Sales Executive,Yes,4487,Mid,4,3,2,5,5,0,0.716,High
529,37,Research & Development,Research Scientist,Yes,4449,Mid,3,3,2,13,15,0,0.514,Medium
530,31,Research & Development,Laboratory Technician,No,2218,Low,1,3,4,4,4,0,0.515,Medium
531,39,Research & Development,Manager,Yes,19197,High,3,3,2,21,21,0,0.201,Low
532,56,Sales,Sales Executive,No,13212,High,1,2,3,7,36,0,0.118,Low
533,30,Sales,Sales Executive,No,6577,High,3,3,2,5,6,0,0.63,High
534,41,Sales,Sales Executive,No,8392,High,1,3,2,10,10,0,0.162,Low
536,28,Research & Development,Laboratory Technician,No,4558,Mid,1,3,3,10,10,0,0.299,Low
538,25,Research & Development,Laboratory Technician,No,4031,Mid,1,3,1,2,6,1,0.456,Medium
543,52,Research & Development,Manufacturing Director,Yes,7969,High,3,3,4,5,28,0,0.118,Low
544,45,Research & Development,Research Scientist,No,2654,Low,4,2,1,2,8,0,0.077,Low
546,52,Research & Development,Manager,No,16555,High,4,1,4,5,31,0,0.006,Low
547,42,Research & Development,Research Scientist,No,4556,Mid,3,3,1,5,19,0,0.43,Medium
548,30,Research & Development,Manufacturing Director,No,6091,Mid,4,3,3,5,11,0,0.219,Low
549,60,Research & Development,Manager,No,19566,High,1,1,1,29,33,0,0.474,Medium
550,46,Research & Development,Manufacturing Director,No,4810,Mid,3,2,3,10,19,0,0.011,Low
551,42,Research & Development,Healthcare Representative,No,4523,Mid,4,4,4,6,7,0,0.035,Low
554,24,Sales,Sales Representative,Yes,3202,Low,2,3,1,5,6,1,0.977,High
555,34,Sales,Sales Representative,No,2351,Low,3,2,4,2,3,1,0.336,Medium
556,38,Research & Development,Laboratory Technician,Yes,1702,Low,4,3,4,1,1,0,0.61,High
558,40,Sales,Manager,No,18041,High,3,3,3,20,21,0,0.002,Low
560,26,Research & Development,Research Scientist,No,2886,Low,4,1,1,3,3,0,0.145,Low
562,30,Research & Development,Laboratory Technician,No,2097,Low,4,1,3,5,9,0,0.101,Low
564,29,Research & Development,Research Director,No,11935,High,3,3,2,10,10,0,0.014,Low
565,29,Research & Development,Research Scientist,No,2546,Low,2,4,3,2,6,1,0.654,High
566,19,Human Resources,Human Resources,No,2564,Low,4,4,1,1,1,1,0.762,High
567,30,Sales,Sales Executive,No,8412,High,1,3,3,9,10,0,0.105,Low
568,57,Sales,Manager,No,14118,High,4,2,1,1,32,0,0.147,Low
569,50,Research & Development,Manager,No,17046,High,3,3,2,27,28,0,0.618,High
571,30,Research & Development,Laboratory Technician,No,2564,Low,4,2,3,11,12,0,0.142,Low
573,60,Sales,Sales Executive,No,10266,High,1,4,3,18,22,0,0.396,Medium
574,47,Research & Development,Manufacturing Director,No,5070,Mid,4,3,1,5,20,0,0.049,Low
575,46,Research & Development,Research Director,No,17861,High,3,1,1,3,26,0,0.119,Low
577,35,Research & Development,Laboratory Technician,No,4230,Mid,3,3,4,5,6,0,0.606,High
578,54,Research & Development,Laboratory Technician,No,3780,Mid,3,3,3,1,19,0,0.348,Medium
579,34,Research & Development,Research Scientist,No,2768,Low,3,3,4,7,14,0,0.067,Low
580,46,Sales,Sales Executive,Yes,9071,High,4,3,3,3,15,0,0.246,Low
581,31,Research & Development,Manufacturing Director,No,10648,High,2,4,3,13,13,0,0.006,Low
582,33,Research & Development,Manager,Yes,13610,High,3,4,2,7,15,1,0.465,Medium
584,33,Research & Development,Laboratory Technician,No,3408,Low,4,3,1,4,8,1,0.543,Medium
585,30,Sales,Sales Representative,No,2983,Low,2,3,4,3,4,0,0.746,High
586,35,Research & Development,Healthcare Representative,Yes,7632,High,3,3,4,8,10,0,0.344,Medium
587,31,Research & Development,Healthcare Representative,No,9824,High,3,3,1,1,12,1,0.515,Medium
590,34,Human Resources,Human Resources,Yes,9950,High,1,3,2,3,11,1,0.987,High
591,42,Research & Development,Laboratory Technician,No,2093,Low,3,3,2,2,8,0,0.451,Medium
592,36,Sales,Sales Executive,No,9980,High,4,2,2,10,10,0,0.32,Medium
593,22,Research & Development,Laboratory Technician,No,3894,Mid,3,3,3,2,4,1,0.912,High
595,48,Sales,Sales Executive,No,4051,Mid,4,3,2,9,14,0,0.113,Low
597,55,Sales,Manager,No,16835,High,2,3,1,10,37,0,0.07,Low
599,41,Sales,Sales Executive,No,6230,Mid,4,3,4,14,16,0,0.05,Low
600,35,Sales,Sales Executive,No,4717,Mid,3,3,2,11,15,0,0.424,Medium
601,40,Research & Development,Manufacturing Director,No,13237,High,3,3,2,20,22,0,0.405,Medium
602,39,Research & Development,Laboratory Technician,No,3755,Mid,3,3,3,8,8,0,0.262,Low
604,31,Sales,Sales Executive,Yes,6582,High,4,4,2,6,10,0,0.551,Medium
605,42,Research & Development,Manufacturing Director,Yes,7406,High,1,2,4,10,10,0,0.364,Medium
606,45,Sales,Sales Executive,No,4805,Mid,2,4,4,8,9,0,0.026,Low
608,26,Human Resources,Human Resources,Yes,2741,Low,3,2,2,7,8,1,0.841,High
611,29,Research & Development,Manufacturing Director,No,4262,Mid,4,4,4,3,8,0,0.231,Low
612,33,Research & Development,Research Director,No,16184,High,3,3,1,6,10,0,0.015,Low
613,31,Sales,Manager,No,11557,High,4,2,3,5,10,0,0.131,Low
614,18,Sales,Sales Representative,Yes,1878,Low,2,3,2,0,0,1,0.98,High
615,40,Sales,Sales Executive,No,10932,High,1,3,3,1,20,0,0.173,Low
616,41,Research & Development,Healthcare Representative,Yes,6811,High,3,3,1,8,10,0,0.211,Low
618,26,Sales,Sales Executive,No,4306,Mid,3,3,1,0,8,0,0.61,High
620,35,Sales,Sales Executive,No,4859,Mid,3,3,1,5,5,0,0.207,Low
621,34,Sales,Sales Executive,No,5337,Mid,4,3,4,10,10,0,0.143,Low
622,26,Research & Development,Laboratory Technician,Yes,2340,Low,4,1,3,1,1,1,0.996,High
623,37,Research & Development,Manufacturing Director,No,7491,High,4,4,2,6,12,0,0.253,Low
624,46,Research & Development,Healthcare Representative,No,10527,High,3,2,1,2,28,0,0.082,Low
625,41,Sales,Manager,No,16595,High,1,3,2,18,22,0,0.058,Low
626,37,Sales,Sales Executive,No,8834,High,2,3,1,9,9,0,0.082,Low
630,52,Research & Development,Research Scientist,Yes,5577,Mid,1,3,4,10,18,0,0.443,Medium
631,32,Sales,Sales Executive,No,4707,Mid,3,3,4,4,6,1,0.026,Low
632,24,Sales,Sales Representative,No,2400,Low,4,3,4,2,3,0,0.567,Medium
634,38,Research & Development,Healthcare Representative,No,9824,High,3,3,3,1,18,0,0.014,Low
635,37,Research & Development,Manufacturing Director,No,6447,Mid,2,2,2,6,8,0,0.5,Medium
638,49,Research & Development,Research Director,Yes,19502,High,3,3,4,31,31,0,0.026,Low
639,24,Research & Development,Research Scientist,Yes,2725,Low,4,3,2,6,6,0,0.456,Medium
641,26,Sales,Sales Executive,No,6272,Mid,2,4,1,5,6,0,0.327,Medium
643,24,Research & Development,Laboratory Technician,No,2127,Low,2,3,4,1,1,0,0.569,Medium
644,50,Human Resources,Manager,No,18200,High,2,3,1,32,32,0,0.429,Medium
645,25,Sales,Sales Representative,No,2096,Low,3,3,2,7,7,0,0.583,Medium
647,24,Research & Development,Laboratory Technician,Yes,2886,Low,3,3,1,6,6,1,0.711,High
648,30,Sales,Sales Representative,No,2033,Low,1,4,2,1,1,1,0.885,High
649,34,Research & Development,Research Scientist,Yes,3622,Low,4,3,2,6,6,0,0.316,Medium
650,31,Sales,Sales Executive,No,4233,Mid,1,1,2,3,9,1,0.445,Medium
652,35,Research & Development,Laboratory Technician,No,3681,Mid,4,3,1,3,9,0,0.874,High
653,31,Sales,Sales Executive,No,5460,Mid,4,4,1,7,13,0,0.034,Low
655,27,Research & Development,Research Scientist,No,2187,Low,3,2,1,5,6,0,0.047,Low
656,37,Sales,Sales Executive,Yes,9602,High,3,2,4,3,17,0,0.586,Medium
657,20,Research & Development,Research Scientist,No,2836,Low,2,4,4,1,1,0,0.359,Medium
659,42,Research & Development,Healthcare Representative,No,4089,Mid,4,3,3,10,10,0,0.044,Low
661,43,Research & Development,Research Director,Yes,16627,High,4,2,2,1,21,0,0.199,Low
662,38,Research & Development,Research Scientist,No,2619,Low,1,2,3,0,8,0,0.475,Medium
663,43,Research & Development,Laboratory Technician,Yes,5679,Mid,3,3,4,8,10,0,0.568,Medium
664,48,Research & Development,Manager,No,15402,High,1,1,4,3,21,0,0.062,Low
665,44,Human Resources,Human Resources,No,5985,Mid,3,4,1,2,10,0,0.619,High
666,34,Sales,Sales Representative,Yes,2579,Low,3,3,3,8,8,0,0.757,High
667,27,Sales,Sales Representative,No,3041,Low,1,3,3,4,5,1,0.328,Medium
669,21,Sales,Sales Representative,No,3447,Low,3,3,3,3,3,0,0.912,High
671,44,Research & Development,Manager,Yes,19513,High,4,4,4,2,26,0,0.114,Low
675,22,Research & Development,Research Scientist,No,2773,Low,3,3,1,2,3,0,0.156,Low
677,33,Sales,Sales Executive,No,7104,High,3,3,3,5,6,0,0.178,Low
679,32,Research & Development,Research Scientist,Yes,6322,Mid,4,2,1,6,6,0,0.389,Medium
680,30,Research & Development,Research Scientist,No,2083,Low,3,3,3,1,1,0,0.205,Low
682,53,Sales,Sales Executive,No,8381,High,1,4,4,14,18,0,0.393,Medium
683,34,Research & Development,Research Scientist,No,2691,Low,4,2,2,10,10,0,0.039,Low
684,45,Sales,Sales Executive,No,4286,Mid,1,3,1,1,5,1,0.415,Medium
686,26,Research & Development,Laboratory Technician,Yes,2659,Low,4,3,3,3,3,0,0.481,Medium
689,37,Research & Development,Manufacturing Director,No,9434,High,3,3,3,10,10,0,0.031,Low
690,29,Sales,Sales Executive,No,5561,Mid,3,2,2,6,6,0,0.285,Low
691,35,Research & Development,Research Scientist,No,6646,High,4,3,2,17,17,0,0.478,Medium
692,33,Research & Development,Healthcare Representative,No,7725,High,4,1,3,13,15,0,0.016,Low
698,54,Human Resources,Human Resources,No,10725,High,2,4,3,9,16,0,0.404,Medium
699,36,Research & Development,Manufacturing Director,Yes,8847,High,2,3,2,3,13,0,0.388,Medium
700,27,Research & Development,Research Scientist,No,2045,Low,4,3,1,4,5,0,0.522,Medium
701,20,Research & Development,Research Scientist,Yes,1009,Low,3,3,4,1,1,1,0.523,Medium
702,33,Research & Development,Research Scientist,Yes,3348,Low,1,3,1,10,10,1,0.949,High
704,35,Research & Development,Laboratory Technician,No,1281,Low,3,3,3,1,1,0,0.076,Low
705,23,Research & Development,Research Scientist,No,2819,Low,1,4,1,3,5,0,0.22,Low
707,25,Sales,Sales Executive,No,4851,Mid,2,3,4,3,4,0,0.052,Low
709,38,Sales,Sales Executive,No,4028,Mid,4,3,4,7,8,0,0.083,Low
710,29,Research & Development,Research Scientist,No,2720,Low,4,3,2,10,10,0,0.041,Low
712,48,Sales,Sales Executive,No,8120,High,2,3,2,2,12,0,0.199,Low
714,27,Sales,Sales Executive,Yes,4647,Mid,4,3,4,6,6,0,0.085,Low
715,37,Research & Development,Research Scientist,No,4680,Mid,4,3,4,1,4,0,0.144,Low
716,50,Research & Development,Laboratory Technician,Yes,3221,Low,3,3,4,20,20,0,0.414,Medium
717,34,Research & Development,Healthcare Representative,No,8621,High,2,4,4,8,9,0,0.135,Low
720,24,Sales,Sales Executive,No,4577,Mid,3,3,1,2,4,1,0.856,High
721,39,Research & Development,Healthcare Representative,No,4553,Mid,3,3,4,20,20,0,0.29,Low
722,32,Sales,Sales Executive,No,5396,Mid,4,2,4,10,10,0,0.117,Low
723,50,Sales,Sales Executive,Yes,6796,High,3,3,2,4,18,1,0.897,High
724,38,Research & Development,Healthcare Representative,No,7625,High,4,2,2,9,10,0,0.016,Low
725,27,Research & Development,Manufacturing Director,No,7412,High,1,3,3,9,9,0,0.021,Low
727,32,Research & Development,Research Director,No,11159,High,4,3,3,7,10,0,0.004,Low
728,47,Sales,Sales Executive,No,4960,Mid,1,3,4,7,20,0,0.089,Low
729,40,Sales,Sales Executive,Yes,10475,High,1,3,4,18,20,0,0.528,Medium
730,53,Research & Development,Research Director,No,14814,High,3,3,3,5,32,0,0.002,Low
731,41,Human Resources,Manager,No,19141,High,4,2,2,21,23,0,0.406,Medium
732,60,Sales,Sales Executive,No,5405,Mid,1,3,1,2,10,0,0.874,High
733,27,Research & Development,Manufacturing Director,No,8793,High,1,2,4,9,9,0,0.113,Low
734,41,Human Resources,Manager,No,19189,High,3,3,4,22,22,0,0.056,Low
738,50,Sales,Sales Representative,No,3875,Mid,2,3,4,2,4,0,0.657,High
741,28,Research & Development,Research Scientist,Yes,2216,Low,2,3,1,7,10,1,0.774,High
742,36,Research & Development,Research Director,No,11713,High,1,3,1,8,10,0,0.042,Low
743,38,Research & Development,Manufacturing Director,Yes,7861,High,3,4,3,1,10,0,0.321,Medium
744,44,Research & Development,Laboratory Technician,No,3708,Mid,3,3,1,5,9,0,0.689,High
746,47,Sales,Sales Executive,Yes,13770,High,3,2,4,22,28,0,0.877,High
747,30,Sales,Sales Executive,No,5304,Mid,4,2,3,8,10,0,0.294,Low
749,29,Sales,Sales Representative,No,2642,Low,3,3,3,1,1,0,0.506,Medium
752,42,Research & Development,Research Scientist,Yes,2759,Low,3,3,3,2,7,1,0.604,High
754,43,Sales,Sales Executive,No,6804,High,4,3,4,2,7,0,0.182,Low
757,34,Research & Development,Healthcare Representative,No,6142,Mid,3,3,2,5,10,0,0.438,Medium
758,23,Research & Development,Laboratory Technician,No,2500,Low,1,4,2,4,5,0,0.489,Medium
760,39,Human Resources,Human Resources,No,6389,Mid,2,1,3,8,12,0,0.42,Medium
762,56,Research & Development,Healthcare Representative,No,11103,High,4,2,3,10,30,0,0.107,Low
763,40,Research & Development,Research Scientist,Yes,2342,Low,4,2,4,4,5,0,0.489,Medium
764,27,Research & Development,Healthcare Representative,No,6811,High,1,1,4,7,9,0,0.417,Medium
766,29,Sales,Sales Representative,No,2297,Low,2,3,4,2,2,0,0.374,Medium
769,53,Research & Development,Laboratory Technician,No,2450,Low,4,3,4,2,19,0,0.055,Low
771,35,Research & Development,Healthcare Representative,No,5093,Mid,1,4,4,1,16,0,0.007,Low
772,32,Research & Development,Laboratory Technician,No,5309,Mid,4,3,1,10,10,0,0.513,Medium
773,38,Research & Development,Research Scientist,Yes,3057,Low,3,1,4,1,6,0,0.778,High
775,34,Research & Development,Manufacturing Director,No,5121,Mid,1,3,2,0,7,0,0.114,Low
776,52,Sales,Manager,No,16856,High,1,4,3,34,34,0,0.088,Low
780,33,Research & Development,Research Scientist,Yes,2686,Low,4,2,4,10,10,1,0.346,Medium
781,25,Sales,Sales Executive,No,6180,Mid,4,2,3,6,6,0,0.231,Low
783,45,Sales,Sales Representative,No,6632,High,3,3,2,8,9,0,0.964,High
784,23,Research & Development,Research Scientist,No,3505,Low,3,3,1,2,2,0,0.273,Low
785,47,Sales,Sales Executive,Yes,6397,Mid,3,3,2,5,8,1,0.851,High
786,34,Sales,Sales Executive,No,6274,Mid,4,3,4,6,6,0,0.067,Low
787,55,Research & Development,Manager,Yes,19859,High,1,3,4,5,24,1,0.082,Low
789,36,Sales,Sales Executive,No,7587,High,1,3,1,10,10,0,0.26,Low
791,52,Research & Development,Research Scientist,No,4258,Mid,4,3,4,4,5,0,0.023,Low
792,26,Research & Development,Laboratory Technician,No,4364,Mid,4,3,1,2,5,0,0.798,High
793,29,Research & Development,Healthcare Representative,No,4335,Mid,3,2,2,8,11,0,0.312,Medium
796,26,Sales,Sales Executive,No,5326,Mid,1,2,4,4,6,1,0.897,High
797,34,Research & Development,Research Scientist,No,3280,Low,4,3,2,4,10,0,0.084,Low
799,54,Research & Development,Manufacturing Director,Yes,5485,Mid,1,3,4,5,9,0,0.598,Medium
800,27,Sales,Sales Executive,No,4342,Mid,4,3,3,4,5,0,0.224,Low
802,37,Research & Development,Research Scientist,Yes,2782,Low,1,2,4,5,6,0,0.364,Medium
803,38,Research & Development,Manufacturing Director,Yes,5980,Mid,1,3,1,15,17,0,0.754,High
804,34,Research & Development,Research Scientist,No,4381,Mid,1,3,3,6,6,0,0.362,Medium
805,35,Sales,Sales Representative,No,2572,Low,4,2,1,3,3,0,0.415,Medium
806,30,Research & Development,Laboratory Technician,No,3833,Mid,3,3,4,2,7,0,0.223,Low
807,40,Research & Development,Healthcare Representative,No,4244,Mid,2,3,3,8,8,0,0.015,Low
808,34,Sales,Sales Executive,No,6500,Mid,1,3,3,3,6,0,0.483,Medium
809,42,Research & Development,Manager,No,18430,High,4,2,2,24,24,0,0.327,Medium
811,23,Research & Development,Laboratory Technician,Yes,1601,Low,1,3,3,0,1,1,0.582,Medium
812,24,Research & Development,Laboratory Technician,No,2694,Low,2,3,3,1,1,0,0.158,Low
813,52,Research & Development,Laboratory Technician,No,3149,Low,3,3,4,5,9,0,0.182,Low
815,50,Research & Development,Research Director,No,17639,High,3,3,3,4,30,0,0.008,Low
816,29,Research & Development,Laboratory Technician,Yes,2319,Low,1,3,2,1,1,1,0.868,High
817,33,Research & Development,Research Director,No,11691,High,3,4,3,13,14,0,0.006,Low
819,33,Sales,Sales Executive,No,5324,Mid,1,3,1,3,6,1,0.785,High
820,47,Research & Development,Manager,Yes,16752,High,4,2,3,26,26,0,0.221,Low
823,36,Research & Development,Manufacturing Director,No,5228,Mid,2,3,3,9,10,0,0.068,Low
824,29,Research & Development,Research Scientist,No,2700,Low,3,3,3,10,10,0,0.028,Low
825,58,Research & Development,Research Director,Yes,19246,High,2,3,4,31,40,1,0.391,Medium
826,35,Research & Development,Research Scientist,No,2506,Low,3,3,4,2,7,0,0.074,Low
827,42,Research & Development,Manufacturing Director,Yes,6062,Mid,4,3,4,4,8,0,0.243,Low
828,28,Research & Development,Research Scientist,No,4382,Mid,3,2,3,2,5,1,0.331,Medium
829,36,Human Resources,Human Resources,No,2143,Low,2,3,3,5,8,0,0.655,High
830,32,Research & Development,Manufacturing Director,No,6162,Mid,3,3,3,14,14,0,0.035,Low
832,40,Research & Development,Laboratory Technician,No,5094,Mid,3,3,1,1,10,0,0.889,High
833,30,Research & Development,Manufacturing Director,Yes,6877,High,4,2,3,0,12,0,0.383,Medium
834,45,Research & Development,Research Scientist,No,2274,Low,3,3,2,1,1,0,0.213,Low
836,42,Research & Development,Manufacturing Director,No,4434,Mid,2,2,2,9,10,0,0.226,Low
837,38,Research & Development,Healthcare Representative,No,6288,Mid,1,2,1,4,13,0,0.626,High
838,34,Research & Development,Research Scientist,No,2553,Low,4,3,3,5,6,0,0.347,Medium
840,49,Sales,Sales Executive,No,7654,High,4,4,3,9,9,1,0.033,Low
842,55,Sales,Sales Executive,No,5160,Mid,4,2,3,9,12,1,0.231,Low
843,43,Research & Development,Research Director,No,17159,High,1,3,2,4,22,0,0.053,Low
844,27,Research & Development,Research Director,Yes,12808,High,4,3,3,9,9,0,0.033,Low
845,35,Research & Development,Manufacturing Director,No,10221,High,3,4,3,8,17,0,0.11,Low
846,28,Sales,Sales Executive,Yes,4779,Mid,2,3,2,8,8,0,0.848,High
847,34,Human Resources,Human Resources,No,3737,Mid,4,1,3,3,4,0,0.189,Low
848,26,Research & Development,Research Scientist,Yes,2366,Low,3,3,3,8,8,1,0.449,Medium
850,27,Research & Development,Research Scientist,No,1706,Low,4,2,4,0,0,0,0.016,Low
851,51,Sales,Manager,No,16307,High,3,2,1,20,29,0,0.018,Low
852,44,Research & Development,Healthcare Representative,No,5933,Mid,2,2,4,5,10,0,0.289,Low
854,25,Research & Development,Research Scientist,No,3424,Low,1,2,1,4,6,0,0.793,High
855,33,Sales,Sales Executive,No,4037,Mid,1,3,1,9,9,0,0.055,Low
856,35,Research & Development,Research Scientist,No,2559,Low,1,2,3,6,6,0,0.668,High
857,36,Sales,Sales Executive,Yes,6201,Mid,4,2,2,18,18,0,0.172,Low
859,32,Sales,Sales Executive,No,4403,Mid,4,2,2,5,8,0,0.187,Low
